iter	Accuracy	Logloss
0	0.7767367153	0.6738610649
1	0.7767367153	0.6556964272
2	0.7763351626	0.6389442825
3	0.7757997591	0.624333752
4	0.7756659082	0.6111546025
5	0.7752643555	0.5988776394
6	0.7753982064	0.5876609609
7	0.7753982064	0.5772634003
8	0.7752643555	0.5688789622
9	0.7752643555	0.5605239347
10	0.7752643555	0.5532661186
11	0.7751305046	0.5472792977
12	0.7751305046	0.540654757
13	0.7751305046	0.5352170646
14	0.7751305046	0.5305438189
15	0.7751305046	0.5260532784
16	0.7751305046	0.5212045495
17	0.7751305046	0.517208009
18	0.7752643555	0.5138109544
19	0.7751305046	0.510876692
20	0.7752643555	0.5081021617
21	0.7751305046	0.5052697906
22	0.7751305046	0.5026019554
23	0.7751305046	0.5005194892
24	0.7752643555	0.497715777
25	0.7752643555	0.4952784229
26	0.7752643555	0.492987893
27	0.7752643555	0.490980195
28	0.7752643555	0.488852077
29	0.7752643555	0.4872246907
30	0.7752643555	0.4854308077
31	0.7753982064	0.4839502456
32	0.7753982064	0.4825785681
33	0.7752643555	0.4814618478
34	0.7752643555	0.4802342168
35	0.7752643555	0.4791669063
36	0.7753982064	0.4777231075
37	0.7753982064	0.4767866414
38	0.7753982064	0.476020234
39	0.7755320573	0.4748284186
40	0.7757997591	0.4737629054
41	0.7763351626	0.4723862281
42	0.7764690135	0.4715248897
43	0.7764690135	0.4705048322
44	0.7764690135	0.4695338904
45	0.7766028644	0.4687696724
46	0.7774059697	0.4678102334
47	0.7770044171	0.4669835996
48	0.7775398206	0.4663501607
49	0.7778075224	0.4653886303
50	0.7776736715	0.4645139592
51	0.7780752242	0.4638678737
52	0.7780752242	0.4631253869
53	0.7784767769	0.4625359986
54	0.778342926	0.4618593915
55	0.7784767769	0.4611615107
56	0.7786106278	0.4605977749
57	0.7787444787	0.4597028759
58	0.7790121804	0.4589401937
59	0.7794137331	0.4583873726
60	0.7794137331	0.457754816
61	0.7794137331	0.4568956345
62	0.7796814349	0.4563999352
63	0.7796814349	0.4555548708
64	0.7802168384	0.4548641793
