iter	Passed	Remaining
0	47	47731
1	82	40928
2	117	38891
3	151	37746
4	185	36938
5	217	36055
6	250	35587
7	283	35194
8	316	34833
9	348	34455
10	377	33978
11	407	33577
12	438	33279
13	468	32973
14	497	32677
15	526	32388
16	554	32078
17	584	31860
18	613	31652
19	642	31477
20	671	31315
21	701	31170
22	730	31033
23	759	30882
24	788	30737
25	817	30611
26	846	30495
27	875	30384
28	903	30257
29	932	30159
30	961	30064
31	989	29942
32	1017	29816
33	1046	29735
34	1074	29637
35	1102	29533
36	1132	29464
37	1159	29350
38	1186	29233
39	1215	29162
40	1243	29086
41	1272	29025
42	1300	28936
43	1327	28850
44	1355	28766
45	1385	28725
46	1414	28672
47	1443	28622
48	1471	28566
49	1501	28523
50	1531	28491
51	1560	28441
52	1588	28385
53	1617	28332
54	1646	28295
55	1676	28254
56	1704	28197
57	1733	28161
58	1762	28110
59	1790	28043
60	1819	28002
61	1848	27970
62	1877	27926
63	1906	27887
64	1935	27847
65	1965	27807
66	1994	27769
67	2022	27720
68	2050	27663
69	2077	27607
70	2105	27548
71	2132	27489
72	2161	27445
73	2189	27403
74	2218	27365
75	2246	27314
76	2275	27275
77	2304	27234
78	2332	27187
79	2360	27147
80	2388	27097
81	2416	27057
82	2445	27018
83	2474	26986
84	2504	26956
85	2531	26904
86	2560	26869
87	2588	26826
88	2616	26777
89	2645	26748
90	2675	26721
91	2702	26677
92	2732	26649
93	2763	26630
94	2791	26590
95	2820	26557
96	2848	26514
97	2876	26473
98	2905	26438
99	2933	26398
100	2961	26355
101	2989	26322
102	3017	26277
103	3045	26241
104	3074	26202
105	3102	26162
106	3130	26124
107	3158	26088
108	3188	26061
109	3216	26024
110	3245	25993
111	3275	25967
112	3303	25933
113	3333	25906
114	3361	25872
115	3391	25842
116	3419	25810
117	3448	25776
118	3476	25736
119	3504	25698
120	3532	25663
121	3560	25624
122	3587	25582
123	3616	25550
124	3645	25515
125	3673	25483
126	3702	25449
127	3730	25417
128	3760	25387
129	3787	25347
130	3817	25322
131	3846	25295
132	3875	25260
133	3903	25228
134	3931	25192
135	3961	25165
136	3990	25134
137	4018	25101
138	4046	25067
139	4074	25031
140	4103	24997
141	4131	24962
142	4160	24933
143	4189	24902
144	4217	24869
145	4245	24830
146	4272	24792
147	4301	24760
148	4328	24720
149	4357	24689
150	4385	24657
151	4413	24625
152	4444	24603
153	4471	24565
154	4501	24540
155	4529	24507
156	4558	24474
157	4587	24445
158	4616	24420
159	4645	24388
160	4673	24353
161	4702	24324
162	4729	24287
163	4757	24249
